Date,Category,Product,Region,Units,Price,Sales,Satisfaction
2025-01-01,Beauty,Lipstick,East,2,15.7,31.4,4.0
2025-01-01,Home,Blender,West,1,48.34,48.34,4.0
2025-01-01,Home,Vacuum,North,3,196.92,590.76,3.7
2025-01-01,Sports,Dumbbell,West,1,40.89,40.89,3.8
2025-01-01,Electronics,Laptop,East,1,1022.37,1022.37,3.5
2025-01-01,Home,Sofa,East,1,657.99,657.99,3.1
2025-01-01,Sports,Running Shoes,East,1,84.07,84.07,3.7
2025-01-01,Sports,Yoga Mat,West,2,28.45,56.9,5.0
2025-01-01,Beauty,Lipstick,West,4,13.6,54.4,4.9
2025-01-01,Clothing,Jeans,South,2,56.5,113.0,3.2
2025-01-01,Sports,Running Shoes,South,4,94.95,379.8,4.4
2025-01-02,Beauty,Lipstick,South,1,14.48,14.48,4.9
2025-01-02,Clothing,Jacket,North,4,122.08,488.32,3.0
2025-01-02,Sports,Running Shoes,North,5,82.34,411.7,4.8
2025-01-02,Electronics,Smartwatch,West,3,225.28,675.84,5.0
2025-01-02,Electronics,Headphones,North,2,162.79,325.58,4.9
2025-01-02,Beauty,Face Cream,North,1,35.86,35.86,4.1
2025-01-02,Sports,Running Shoes,West,3,92.48,277.44,3.9
2025-01-02,Electronics,Headphones,North,3,164.15,492.45,3.5
2025-01-02,Home,Coffee Maker,East,1,88.7,88.7,4.8
2025-01-02,Sports,Running Shoes,East,1,97.12,97.12,5.0
2025-01-02,Sports,Running Shoes,East,3,88.39,265.17,4.7
2025-01-02,Beauty,Lipstick,West,2,15.3,30.6,4.4
2025-01-03,Sports,Yoga Mat,West,1,31.82,31.82,4.9
2025-01-03,Home,Sofa,South,1,554.65,554.65,4.0
2025-01-03,Home,Vacuum,North,3,191.45,574.35,4.6
2025-01-03,Home,Coffee Maker,South,1,85.0,85.0,4.6
2025-01-03,Electronics,Smartwatch,North,1,228.24,228.24,4.1
2025-01-03,Beauty,Perfume,East,1,79.96,79.96,4.2
2025-01-03,Sports,Bicycle,North,2,462.09,924.18,5.0
2025-01-03,Sports,Bicycle,South,1,493.71,493.71,5.0
2025-01-03,Home,Coffee Maker,East,1,95.46,95.46,4.8
2025-01-03,Clothing,Jeans,South,1,60.43,60.43,3.8
2025-01-03,Sports,Running Shoes,West,1,86.87,86.87,4.9
2025-01-03,Clothing,Jacket,East,2,113.44,226.88,4.6
2025-01-03,Clothing,Sneakers,North,2,82.81,165.62,3.5
2025-01-04,Clothing,Jacket,East,3,123.84,371.52,5.0
2025-01-04,Clothing,T-Shirt,West,2,27.33,54.66,5.0
2025-01-04,Home,Blender,North,2,47.79,95.58,4.3
2025-01-04,Electronics,Smartwatch,West,1,229.21,229.21,4.3
2025-01-04,Beauty,Perfume,East,4,77.96,311.84,4.1
2025-01-04,Home,Sofa,North,2,566.91,1133.82,2.7
2025-01-05,Sports,Bicycle,West,2,437.98,875.96,3.4
2025-01-05,Beauty,Face Cream,East,1,35.95,35.95,5.0
2025-01-05,Sports,Running Shoes,South,1,97.31,97.31,5.0
2025-01-05,Electronics,Laptop,West,1,1044.49,1044.49,3.1
2025-01-05,Home,Sofa,North,5,545.23,2726.15,2.8
2025-01-06,Home,Sofa,North,1,654.37,654.37,4.0
2025-01-06,Sports,Running Shoes,East,1,98.65,98.65,3.4
2025-01-06,Electronics,Smartwatch,East,2,233.47,466.94,3.7
2025-01-06,Clothing,Jacket,West,1,109.69,109.69,3.3
2025-01-06,Home,Vacuum,South,3,173.61,520.83,5.0
2025-01-06,Electronics,Headphones,South,1,145.78,145.78,4.6
2025-01-06,Electronics,Smartwatch,North,1,229.08,229.08,4.6
2025-01-06,Beauty,Lipstick,West,2,15.45,30.9,4.4
2025-01-06,Beauty,Perfume,South,2,79.02,158.04,4.3
2025-01-06,Home,Coffee Maker,South,1,90.77,90.77,3.9
2025-01-07,Clothing,Jeans,East,1,58.32,58.32,4.3
2025-01-07,Electronics,Smartwatch,North,4,238.58,954.32,5.0
2025-01-07,Beauty,Perfume,East,1,83.19,83.19,4.1
2025-01-07,Sports,Yoga Mat,West,1,31.29,31.29,3.2
2025-01-07,Clothing,Jacket,South,4,108.61,434.44,2.6
2025-01-07,Electronics,Smartwatch,North,4,227.91,911.64,3.0
2025-01-07,Electronics,Smartwatch,North,4,239.0,956.0,3.9
2025-01-07,Sports,Yoga Mat,North,1,29.52,29.52,5.0
2025-01-08,Sports,Yoga Mat,West,1,27.28,27.28,3.6
2025-01-08,Beauty,Lipstick,West,3,13.55,40.65,3.8
2025-01-08,Sports,Running Shoes,South,2,92.09,184.18,5.0
2025-01-08,Clothing,Sneakers,East,4,72.24,288.96,5.0
2025-01-08,Sports,Bicycle,West,2,411.35,822.7,4.3
2025-01-08,Electronics,Smartwatch,West,3,256.82,770.46,4.8
2025-01-08,Electronics,Laptop,North,4,1009.12,4036.48,5.0
2025-01-08,Home,Coffee Maker,North,1,92.73,92.73,3.5
2025-01-08,Clothing,T-Shirt,East,1,25.59,25.59,3.6
2025-01-08,Clothing,Sneakers,North,1,85.52,85.52,3.7
2025-01-08,Beauty,Perfume,North,4,77.57,310.28,4.9
2025-01-08,Beauty,Lipstick,North,2,16.4,32.8,5.0
2025-01-08,Home,Coffee Maker,East,1,88.43,88.43,2.7
2025-01-09,Sports,Bicycle,North,2,466.19,932.38,3.7
2025-01-09,Electronics,Smartphone,West,1,745.7,745.7,3.1
2025-01-09,Home,Blender,North,4,45.53,182.12,3.9
2025-01-09,Beauty,Perfume,East,2,87.21,174.42,5.0
2025-01-09,Sports,Dumbbell,East,2,40.82,81.64,3.9
2025-01-09,Sports,Yoga Mat,South,2,27.35,54.7,4.4
2025-01-09,Sports,Running Shoes,East,2,90.83,181.66,4.3
2025-01-09,Sports,Bicycle,South,3,440.7,1322.1,4.3
2025-01-09,Clothing,T-Shirt,North,5,22.92,114.6,3.0
2025-01-09,Beauty,Lipstick,East,2,16.22,32.44,3.1
2025-01-09,Beauty,Perfume,West,3,73.34,220.02,2.6
2025-01-10,Home,Blender,South,1,49.93,49.93,5.0
2025-01-10,Beauty,Perfume,South,3,83.86,251.58,4.6
2025-01-10,Home,Coffee Maker,West,1,98.32,98.32,4.8
2025-01-10,Electronics,Laptop,West,1,1005.67,1005.67,2.7
2025-01-10,Sports,Running Shoes,West,2,82.33,164.66,4.7
2025-01-10,Beauty,Lipstick,South,1,14.0,14.0,3.5
2025-01-10,Electronics,Headphones,West,1,163.76,163.76,5.0
2025-01-10,Beauty,Mascara,West,1,19.34,19.34,3.2
2025-01-10,Beauty,Perfume,West,5,73.24,366.2,5.0
2025-01-10,Home,Vacuum,East,1,181.3,181.3,4.7
2025-01-10,Sports,Dumbbell,South,4,36.61,146.44,5.0
2025-01-10,Home,Sofa,North,1,613.61,613.61,5.0
2025-01-10,Electronics,Headphones,North,1,157.49,157.49,3.8
